mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9795573552449545,0.05040106129247114,0.23733003934224448,0.07301183283533796,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8151260504201681,0.8185654008438819,0.8143459915611815,0.8160124809417438,0.0018330617330794385,13
1.7360684871673584,0.0981224780378715,0.20751015345255533,0.010153802180137875,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8151260504201681,0.8227848101265823,0.7974683544303798,0.8117930716590435,0.01060070100892791,15
2.340473254521688,0.07253247957575219,0.19536630312601724,0.010556978922947897,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8151260504201681,0.8185654008438819,0.810126582278481,0.8146060111808436,0.0034647025175586973,14
0.9066965579986572,0.022267270531753907,0.1441954771677653,0.013048890018745317,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8354430379746836,0.8185654008438819,0.8244453899703341,0.0077827365826613915,7
1.4275031089782715,0.04856912389465249,0.16057189305623373,0.010030407512713299,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8354430379746836,0.8286647992530346,0.006823317133206717,2
2.12731138865153,0.06496917629008439,0.2119270165761312,0.014451144776552164,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8109243697478992,0.8354430379746836,0.8227848101265823,0.823050739283055,0.01001147047610817,10
0.8181434472401937,0.0219983160819811,0.15947922070821127,0.012603121167841083,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.819327731092437,0.8354430379746836,0.8312236286919831,0.8286647992530346,0.006823317133206717,2
1.592910369237264,0.0308646627196601,0.2358262538909912,0.027458299413858456,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8277310924369747,0.8312236286919831,0.8354430379746836,0.8314659197012139,0.0031530466424303833,1
2.267356554667155,0.0642715302355563,0.1951416333516439,0.013117731913534025,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8227848101265823,0.8312236286919831,0.8244453899703341,0.004996414647046275,7
0.9188768863677979,0.017828816155360316,0.15760231018066406,0.02256509575299369,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8361344537815126,0.8016877637130801,0.8396624472573839,0.8258282215839922,0.017130537336472327,6
1.487547238667806,0.027457811042919944,0.16911983489990234,0.008524606830418025,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8277310924369747,0.8185654008438819,0.8270042194092827,0.8244335708967131,0.004160020106225901,9
2.233081340789795,0.02246275021165681,0.21674863497416177,0.018818535326767458,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8319327731092437,0.8143459915611815,0.8396624472573839,0.828647070642603,0.010593319051141362,4
0.8479736646016439,0.04666193351821978,0.16954970359802246,0.007090720987637274,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8319327731092437,0.8185654008438819,0.8354430379746836,0.828647070642603,0.007271429905423034,4
1.6425831317901611,0.057870307491034875,0.14835437138875326,0.01168371319633825,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.819327731092437,0.810126582278481,0.8396624472573839,0.823038920209434,0.012340219433748167,11
1.9486441612243652,0.0953142983623455,0.16653728485107422,0.030302155227387016,7,300,"{'clf__max_depth': 7, 'clf__n_estimators': 300}",0.8277310924369747,0.8059071729957806,0.8312236286919831,0.8216206313749127,0.011202203147823988,12
