mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.2219464778900146,0.04503461059802389,0.27028560638427734,0.039286723422557034,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.810126582278481,0.7893427413159356,0.014757264748430948,12
2.0377159118652344,0.0401981566195399,0.3019450505574544,0.05142744904525814,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7890295358649789,0.8059071729957806,0.7907492110768358,0.011737527309053804,11
1.2441047827402751,0.06926839113874993,0.23456311225891113,0.05431401584446288,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,9
1.9226613839467366,0.014298023864315236,0.21506818135579428,0.019596098496286112,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8151260504201681,0.8185654008438819,0.810126582278481,0.8146060111808436,0.0034647025175586973,10
1.1021675268809001,0.0224239893858485,0.18733016649881998,0.01887006234586622,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8270042194092827,0.8258518597312343,0.004924364225996811,5
1.7316075166066487,0.05424165431520623,0.20429722468058267,0.002870094780309951,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8312236286919831,0.8272583294921344,0.005607779907293225,3
0.9268978436787924,0.053867212704614406,0.1763002872467041,0.004296338624201504,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.819327731092437,0.8227848101265823,0.8354430379746836,0.8258518597312343,0.006927282965939481,5
1.664276917775472,0.03914747364045269,0.1842923959096273,0.0070801799337042925,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8270042194092827,0.8227848101265823,0.8230389202094339,0.0031390600684836107,8
0.9643531640370687,0.015958746493121678,0.13396398226420084,0.006740608686833832,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8277310924369747,0.8143459915611815,0.8396624472573839,0.8272465104185134,0.010341078185370143,4
1.4829756418863933,0.0700002309543962,0.14801820119222006,0.016985641436714966,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8403361344537815,0.8185654008438819,0.8312236286919831,0.8300417213298821,0.008927070786386954,2
0.8736462593078613,0.02147556407321893,0.1443495750427246,0.008881667152662753,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8235294117647058,0.8059071729957806,0.8481012658227848,0.8258459501944238,0.017303374046617432,7
1.372646649678548,0.01637342754092174,0.2104798952738444,0.05003490336605611,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8277310924369747,0.8185654008438819,0.8438818565400844,0.8300594499403137,0.010465711275460856,1
